jeff,beta,numnodes,numlinks,probRewire,numedges,graph_seed,numx,trim,x_seed,cost_rw,time_rw,bestgraph_rw,hit_rw,miss_rw,fa_rw,cr_rw,bestval_rw,cost_invite,time_invite,bestgraph_invite,hit_invite,miss_invite,fa_invite,cr_invite,bestval_invite,cost_inviteirt,time_inviteirt,bestgraph_inviteirt,hit_inviteirt,miss_inviteirt,fa_inviteirt,cr_inviteirt,bestval_inviteirt,cost_fe,time_fe,bestgraph_fe,hit_fe,miss_fe,fa_fe,cr_fe,bestval_fe
0.9,0.909090909,15,4,0.3,30,2,3,0.7,2,16,00:00.0,15!1n6yfgn8625bine9wg745wm94a8kg5co0tms4us297gi,19,11,5,70,-28.3949898,19,00:18.3,15!1n6yfgn83zh0y8u0a9bhciu6a53f5796m2gggh6sl81u,16,14,5,70,-27.50493467,14,00:12.3,15!1n4wrcok6msywbyt410h6lic8y1gnjejxftzdikulvcy,19,11,3,72,-28.56776181,27,00:00.0,15!vi64aitdnuar1ehkgjwc768qfko7dmqjnm,3,27,0,75,#NAME?
0.9,0.909090909,15,4,0.3,30,3,3,0.7,3,21,00:00.0,15!wb5r8flgnzwcs9orwgqxybivefrvboabqhc7zmqzpxe,17,13,8,67,-27.3731157,21,00:22.1,15!vdwmg19pzo7a4jcy1pvh4fv2ljbj31dnnbs6jdj5eki,16,14,7,68,-26.49683219,19,00:15.8,15!tkf6x7y8cozfysfoj2ajf3cawgppno6x9ckkwbpbapu,16,14,5,70,-28.73629736,27,00:00.0,15!kpwm4n37myhe1ut6q4plig6grlyydzrtphftgmps,3,27,0,75,#NAME?
0.9,0.909090909,15,4,0.3,30,4,3,0.7,4,21,00:00.0,15!1m85e87kt4v0i5q77l7la5o7wexlj135esl3k0lubksi,16,14,7,68,-26.97643206,21,00:20.0,15!1m85e87kt4v0i1vffj0fvfzyog66m4z4kr5w4i4w2ghu,15,15,6,69,-26.89503057,21,00:11.8,15!1m85e87kt4v0i5q77l7la5o7wexlj135esl3k0lubksi,16,14,7,68,-30.45577473,27,00:00.0,15!kpwml7wk1k6v99gbg43upl4i93urm8gar7rci7sw,3,27,0,75,#NAME?
0.9,0.909090909,15,4,0.3,30,5,3,0.7,5,24,00:00.0,15!5oxbzf766fyii4mmdchc81vtlyxgdlflwgpndrqpfq8,17,13,11,64,-29.49248985,23,00:17.9,15!5oxbzf6pl1g2maeffmqfrg8s4yqvv53gi2wwz6eeq5c,16,14,9,66,-29.11239779,21,00:12.4,15!3vfwglv7y22bt7dwiawaacwq75ksn376sco9ylfxskg,17,13,8,67,-31.51347993,27,00:00.0,15!l04msnqgd1d7pbh2td8pnj0sc77tfk0cn4,3,27,0,75,#NAME?
0.9,0.909090909,15,4,0.3,30,7,3,0.7,7,17,00:00.0,15!2fwch93vlku6l1j3g5wfzv8ph0yw6iq27b4joz1q6y38,20,10,7,68,-32.44028973,17,00:24.1,15!1mslkvw7r14fl4nvmi7sbhy8e1p6j4e0wwpsd2yumm8k,19,11,6,69,-31.89237642,18,00:16.2,15!1mslkvw7r14fl4nvmi7sbhy8e1p6j4e0wwpsd2h3clqo,18,12,6,69,-33.61142924,27,00:00.0,15!er0rb3j2lm5ocsqattb9d76k2et6r7nlal62o,3,27,0,75,#NAME?
0.9,0.909090909,15,4,0.3,30,8,3,0.7,8,22,00:00.0,15!u0rem4yxp6hxygbedb3a5prhdtj7tp0q053nnq21tz8,16,14,8,67,-26.02355811,17,00:17.6,15!u0refy2mb1g5ucg9dm6g18llgkfz3ej0y77hf1fmi2s,16,14,3,72,-23.11611835,20,00:12.0,15!u0refy2mb1g5oqlo73kq11xm493ixgffkzd0ymv6ex0,15,15,5,70,-27.01845706,27,00:00.0,15!5exe2zmgm8hoysxg2msbeuhmuq9yhuxiww,3,27,0,75,#NAME?
0.9,0.909090909,15,4,0.3,30,10,3,0.7,10,17,00:00.0,15!1tkf5dujf8luk86zju5luisi7x4cg1s6lzpqnhbbmg5e,19,11,6,69,-29.40030352,17,00:27.7,15!1tkf5duii1nknprmsvarroso928z3xgg4phne8svtxz6,17,13,4,71,-27.48715386,15,00:13.1,15!1tkf5duii1qizdt9i96bgcjw56zav9ljpo5mw3xk87ya,19,11,4,71,-31.67202003,27,00:00.0,15!3sek6e7knaabdan3wl77sa51c,3,27,0,75,#NAME?
0.9,0.909090909,15,4,0.3,30,12,3,0.7,12,24,00:00.0,15!7iec3u96peeuga7wrp1475frxf6cgh29cd7hsg0u77m,14,16,8,67,-26.79550088,25,00:16.1,15!7iec3u96peeuga7wrp14701jtb7zek4dedlyqvkqy9u,13,17,8,67,-26.60449063,25,00:11.5,15!7iec3u96peeuga7wrp14701jtb7zek4dedlyqvkqy9u,13,17,8,67,-28.87708134,27,00:00.0,15!kpxfmqci1bvvvpe2chqm60cz2e3p8zrrwofe1iww,3,27,0,75,#NAME?
0.9,0.909090909,15,4,0.3,30,14,3,0.7,14,18,00:00.0,15!9gv6u97j2w6h5oyjczlvg151khqznq6rd1g8xtvf9g,17,13,5,70,-24.49833237,19,00:17.4,15!8g14ux7tepv3yts33e3k2kx7mt2o1cdafi8pdueqkk,15,15,4,71,-23.90230192,16,00:15.5,15!8g14uigsnkofpg7krwul0g5smg3unmijlfapxdb210,17,13,3,72,-25.58796923,27,00:00.0,15!9coyzj1vlaubzhr6uunaly9ndjc9x44k2s9fnewow,3,27,0,75,#NAME?
0.9,0.909090909,15,4,0.3,30,16,3,0.7,16,19,00:00.0,15!1qs5c00zatz01t040wbsppjtopoqbwn7qccyltz4b2pu,18,12,7,68,-26.50935737,18,00:20.8,15!1qs4r9r95j9mv81nqoqnppno6ygvwbbfxjow9dy09pmq,16,14,4,71,-25.02959624,15,00:13.2,15!1qs5c00zatyu55o0oscjpmvektexhvziq47wg4thmz2a,18,12,3,72,-29.56918293,27,00:00.0,15!ti3uajf5gb10nswh9sgs24hxahk8k70v4xjb4,3,27,0,75,#NAME?
